home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,Attendance,Venue,Officials,Round,Date,Score,Referee,Notes,Host,Year,home_goal,away_goal,home_goal_long,away_goal_long,home_own_goal,away_own_goal,home_penalty_goal,away_penalty_goal,home_penalty_miss_long,away_penalty_miss_long,home_penalty_shootout_goal_long,away_penalty_shootout_goal_long,home_penalty_shootout_miss_long,away_penalty_shootout_miss_long,home_red_card,away_red_card,home_yellow_red_card,away_yellow_red_card,home_yellow_card_long,away_yellow_card_long,home_substitute_in_long,away_substitute_in_long
Qatar,Ecuador,0,0.3,,2,1.2,,Félix Sánchez,Hassan Al-Haydos,Gustavo Alfaro,Enner Valencia,67372,"Al Bayt Stadium, Al Khor",Daniele Orsato (Referee) · Ciro Carbone (AR1) · Alessandro Giallatini (AR2) · István Kovács (4th) · Massimiliano Irrati (VAR),Group stage,2022-11-20,0–2,Daniele Orsato,,Qatar,2022,,Enner Valencia · 31,,['31&rsquor;|0:2|Enner Valencia|Assist:|Ángelo Preciado'],,,,Enner Valencia (P) · 16,,,,,,,,,,,"['15&rsquor;|0:0|Saad Al Sheeb', '22&rsquor;|0:1|Almoez Ali', '36&rsquor;|0:2|Karim Boudiaf', '78&rsquor;|0:2|Akram Afif']","['29&rsquor;|0:1|Moisés Caicedo', '56&rsquor;|0:2|Jhegson Méndez']","['71&rsquor;|0:2|Mohammed Waad|for Hassan Al-Haydos', '72&rsquor;|0:2|Mohammed Muntari|for Almoez Ali']","['68&rsquor;|0:2|Jeremy Sarmiento|for Romario Ibarra', '77&rsquor;|0:2|José Cifuentes|for Enner Valencia', '90&rsquor;|0:2|Kevin Rodríguez|for Michael Estrada', '90&rsquor;|0:2|Alan Franco|for Moisés Caicedo']"
England,IR Iran,6,2.1,,2,1.4,,Gareth Southgate,Harry Kane,Carlos Queiroz,Ehsan Hajsafi,45334,"Khalifa International Stadium, Doha",Raphael Claus (Referee) · Rodrigo Correa (AR1) · Danilo Manis (AR2) · Kevin Ortega (4th) · Leodán González (VAR),Group stage,2022-11-21,6–2,Raphael Claus,,Qatar,2022,Jude Bellingham · 35|Bukayo Saka · 43|Raheem Sterling · 45+1|Bukayo Saka · 62|Marcus Rashford · 71|Jack Grealish · 90,Mehdi Taremi · 65,"['35&rsquor;|1:0|Jude Bellingham|Assist:|Luke Shaw', '43&rsquor;|2:0|Bukayo Saka|Assist:|Harry Maguire', '45+1&rsquor;|3:0|Raheem Sterling|Assist:|Harry Kane', '62&rsquor;|4:0|Bukayo Saka|Assist:|Raheem Sterling', '71&rsquor;|5:1|Marcus Rashford|Assist:|Harry Kane', '90&rsquor;|6:1|Jack Grealish|Assist:|Callum Wilson']",['65&rsquor;|4:1|Mehdi Taremi|Assist:|Ali Gholizadeh'],,,,Mehdi Taremi (P) · 90+13,,,,,,,,,,,,"['25&rsquor;|0:0|Alireza Jahanbakhsh', '48&rsquor;|3:0|Morteza Pouraliganji']","['70&rsquor;|4:1|Eric Dier|for Harry Maguire', '70&rsquor;|4:1|Marcus Rashford|for Bukayo Saka', '71&rsquor;|5:1|Jack Grealish|for Raheem Sterling', '71&rsquor;|5:1|Phil Foden|for Mason Mount', '76&rsquor;|5:1|Callum Wilson|for Harry Kane']","['20&rsquor;|0:0|Hossein Hosseini|for Alireza Beiranvand', '46&rsquor;|3:0|Hossein Kanaanizadegan|for Roozbeh Cheshmi', '46&rsquor;|3:0|Ali Gholizadeh|for Alireza Jahanbakhsh', '46&rsquor;|3:0|Saeid Ezatolahi|for Ali Karimi', '63&rsquor;|4:0|Mehdi Torabi|for Milad Mohammadi', '77&rsquor;|5:1|Sardar Azmoun|for Ahmad Nourollahi']"
United States,Wales,1,0.8,,1,1.5,,Gregg Berhalter,Tyler Adams,Rob Page,Gareth Bale,43418,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Abdulrahman Ibrahim Al Jassim (Referee) · Taleb Salem Al Marri (AR1) · Saoud Ahmed Al Maqaleh (AR2) · Ma Ning (4th) · Abdulla Ali Al Marri (VAR),Group stage,2022-11-21,1–1,Abdulrahman Ibrahim Al Jassim,,Qatar,2022,Timothy Weah · 36,,['36&rsquor;|1:0|Timothy Weah|Assist:|Christian Pulisic'],,,,,Gareth Bale (P) · 82,,,,,,,,,,,"['11&rsquor;|0:0|Sergiño Dest', '13&rsquor;|0:0|Weston McKennie', '51&rsquor;|1:0|Tim Ream', '90+10&rsquor;|1:1|Kellyn Acosta']","['40&rsquor;|1:0|Gareth Bale', '45+2&rsquor;|1:0|Chris Mepham']","['66&rsquor;|1:0|Brenden Aaronson|for Weston McKennie', '74&rsquor;|1:0|DeAndre Yedlin|for Sergiño Dest', '74&rsquor;|1:0|Kellyn Acosta|for Yunus Musah', '74&rsquor;|1:0|Haji Wright|for Josh Sargent', '88&rsquor;|1:1|Jordan Morris|for Timothy Weah']","['46&rsquor;|1:0|Kieffer Moore|for Daniel James', '79&rsquor;|1:0|Brennan Johnson|for Neco Williams', '90+3&rsquor;|1:1|Sorba Thomas|for Harry Wilson', '90+5&rsquor;|1:1|Joe Morrell|for Ethan Ampadu']"
Senegal,Netherlands,0,0.9,,2,0.7,,Aliou Cissé,Kalidou Koulibaly,Louis van Gaal,Virgil van Dijk,41721,"Al Thumama Stadium, ath-Thumāma",Wilton Sampaio (Referee) · Bruno Boschilia (AR1) · Bruno Pires (AR2) · Andrés Matonte (4th) · Juan Soto (VAR),Group stage,2022-11-21,0–2,Wilton Sampaio,,Qatar,2022,,Cody Gakpo · 84|Davy Klaassen · 90+9,,"['84&rsquor;|0:1|Cody Gakpo|Assist:|Frenkie de Jong', '90+9&rsquor;|0:2|Davy Klaassen']",,,,,,,,,,,,,,,"['90+4&rsquor;|0:1|Nampalys Mendy', '90+6&rsquor;|0:1|Idrissa Gana Gueye']",['56&rsquor;|0:0|Matthijs de Ligt'],"['62&rsquor;|0:0|Ismail Jakobs|for Abdou Diallo', '69&rsquor;|0:0|Bamba Dieng|for Boulaye Dia', '73&rsquor;|0:0|Pape Gueye|for Cheikhou Kouyaté', '74&rsquor;|0:0|Nicolas Jackson|for Krépin Diatta']","['62&rsquor;|0:0|Memphis|for Vincent Janssen', '79&rsquor;|0:0|Davy Klaassen|for Steven Bergwijn', '79&rsquor;|0:0|Teun Koopmeiners|for Steven Berghuis', '90+4&rsquor;|0:1|Marten de Roon|for Cody Gakpo']"
France,Australia,4,4.0,,1,0.5,,Didier Deschamps,Hugo Lloris,Graham Arnold,Mathew Ryan,40875,"Al Janoub Stadium, Al Wakrah",Victor Gomes (Referee) · Zakhele Siwela (AR1) · Souru Phatsoane (AR2) · Salima Mukansanga (4th) · Drew Fischer (VAR),Group stage,2022-11-22,4–1,Victor Gomes,,Qatar,2022,Adrien Rabiot · 27|Olivier Giroud · 32|Kylian Mbappé · 68|Olivier Giroud · 71,Craig Goodwin · 9,"['27&rsquor;|1:1|Adrien Rabiot|Assist:|Theo Hernández', '32&rsquor;|2:1|Olivier Giroud|Assist:|Adrien Rabiot', '68&rsquor;|3:1|Kylian Mbappé|Assist:|Ousmane Dembélé', '71&rsquor;|4:1|Olivier Giroud|Assist:|Kylian Mbappé']",['9&rsquor;|0:1|Craig Goodwin|Assist:|Mathew Leckie'],,,,,,,,,,,,,,,,"['55&rsquor;|2:1|Mitchell Duke', '80&rsquor;|4:1|Jackson Irvine', '90+4&rsquor;|4:1|Aaron Mooy']","['13&rsquor;|0:1|Theo Hernández|for Lucas Hernández', '77&rsquor;|4:1|Youssouf Fofana|for Aurélien Tchouaméni', '77&rsquor;|4:1|Kingsley Coman|for Ousmane Dembélé', '89&rsquor;|4:1|Jules Koundé|for Benjamin Pavard', '89&rsquor;|4:1|Marcus Thuram|for Olivier Giroud']","['56&rsquor;|2:1|Jason Cummings|for Mitchell Duke', '73&rsquor;|4:1|Garang Kuol|for Craig Goodwin', '73&rsquor;|4:1|Awer Mabil|for Riley McGree', '85&rsquor;|4:1|Keanu Baccus|for Jackson Irvine', '85&rsquor;|4:1|Miloš Degenek|for Nathaniel Atkinson']"
Mexico,Poland,0,0.7,,0,0.9,,Tata Martino,Guillermo Ochoa,Czesław Michniewicz,Robert Lewandowski,39369,"Stadium 974, Doha",Chris Beath (Referee) · Anton Shchetinin (AR1) · Ashley Beecham (AR2) · Stéphanie Frappart (4th) · Shaun Evans (VAR),Group stage,2022-11-22,0–0,Chris Beath,,Qatar,2022,,,,,,,,,,['58&rsquor;|0:0|Robert Lewandowski|Penalty saved by Guillermo Ochoa'],,,,,,,,,"['29&rsquor;|0:0|Jorge Eduardo Sánchez', '56&rsquor;|0:0|Héctor Moreno']",['76&rsquor;|0:0|Przemysław Frankowski'],"['71&rsquor;|0:0|Raúl Jiménez|for Henry Martín', '71&rsquor;|0:0|Charly Rodríguez|for Héctor Herrera', '84&rsquor;|0:0|Uriel Antuna|for Alexis Vega']","['46&rsquor;|0:0|Krystian Bielik|for Nicola Zalewski', '72&rsquor;|0:0|Przemysław Frankowski|for Sebastian Szymański', '87&rsquor;|0:0|Arkadiusz Milik|for Piotr Zieliński']"
Denmark,Tunisia,0,1.4,,0,0.9,,Kasper Hjulmand,Simon Kjær,Jalel Kadri,Youssef Msakni,42925,"Education City Stadium, Doha",César Arturo Ramos (Referee) · Alberto Morín (AR1) · Miguel Ángel Hernández (AR2) · Said Martínez (4th) · Fernando Guerrero (VAR),Group stage,2022-11-22,0–0,César Arturo Ramos,,Qatar,2022,,,,,,,,,,,,,,,,,,,"['24&rsquor;|0:0|Rasmus Nissen', '78&rsquor;|0:0|Mathias Jensen']",['86&rsquor;|0:0|Taha Yassine Khenissi'],"['45+1&rsquor;|0:0|Mikkel Damsgaard|for Thomas Delaney', '65&rsquor;|0:0|Mathias Jensen|for Simon Kjær', '65&rsquor;|0:0|Andreas Cornelius|for Kasper Dolberg', '65&rsquor;|0:0|Jesper Lindstrøm|for Andreas Skov Olsen']","['67&rsquor;|0:0|Naïm Sliti|for Anis Ben Slimane', '80&rsquor;|0:0|Taha Yassine Khenissi|for Issam Jebali', '80&rsquor;|0:0|Hannibal Mejbri|for Youssef Msakni', '88&rsquor;|0:0|Wajdi Kechrida|for Mohamed Dräger', '88&rsquor;|0:0|Ferjani Sassi|for Aïssa Laïdouni']"
Argentina,Saudi Arabia,1,2.2,,2,0.1,,Lionel Scaloni,Lionel Messi,Hervé Renard,Salman Al-Faraj,88012,"Lusail Iconic Stadium, Lusail",Slavko Vinčič (Referee) · Tomaž Klančnik (AR1) · Andraž Kovačič (AR2) · Maguette Ndiaye (4th) · Pol van Boekel (VAR),Group stage,2022-11-22,1–2,Slavko Vinčič,,Qatar,2022,,Saleh Al-Shehri · 48|Salem Al-Dawsari · 53,,"['48&rsquor;|1:1|Saleh Al-Shehri|Assist:|Firas Al-Buraikan', '53&rsquor;|1:2|Salem Al-Dawsari']",,,Lionel Messi (P) · 10,,,,,,,,,,,,,"['67&rsquor;|1:2|Abdulellah Al-Malki', '75&rsquor;|1:2|Ali Al-Bulaihi', '79&rsquor;|1:2|Salem Al-Dawsari', '82&rsquor;|1:2|Saud Abdulhamid', '88&rsquor;|1:2|Nawaf Al Abed', '90+2&rsquor;|1:2|Mohammed Al-Owais']","['59&rsquor;|1:2|Lisandro Martínez|for Cristian Romero', '59&rsquor;|1:2|Julián Álvarez|for Papu Gómez', '59&rsquor;|1:2|Enzo Fernández|for Leandro Paredes', '71&rsquor;|1:2|Marcos Acuña|for Nicolás Tagliafico']","['45+4&rsquor;|1:0|Nawaf Al Abed|for Salman Al-Faraj', '78&rsquor;|1:2|Sultan Al-Ghanam|for Saleh Al-Shehri', '89&rsquor;|1:2|Abdulelah Al-Amri|for Nawaf Al Abed', '89&rsquor;|1:2|Asiri Haitham|for Firas Al-Buraikan', '90+9&rsquor;|1:2|Mohammed Al-Breik|for Yasser Al-Shahrani']"
Belgium,Canada,1,0.8,,0,2.4,,Roberto Martínez,Eden Hazard,John Herdman,Atiba Hutchinson,40432,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Janny Sikazwe (Referee) · Jerson dos Santos (AR1) · Arsénio Marengula (AR2) · Yoshimi Yamashita (4th) · Juan Soto (VAR),Group stage,2022-11-23,1–0,Janny Sikazwe,,Qatar,2022,Michy Batshuayi · 44,,['44&rsquor;|1:0|Michy Batshuayi|Assist:|Toby Alderweireld'],,,,,,,['10&rsquor;|0:0|Alphonso Davies|Penalty saved by Thibaut Courtois'],,,,,,,,,"['9&rsquor;|0:0|Yannick Carrasco', '53&rsquor;|1:0|Thomas Meunier', '56&rsquor;|1:0|Amadou Onana']","['81&rsquor;|1:0|Alphonso Davies', '83&rsquor;|1:0|Alistair Johnston']","['46&rsquor;|1:0|Amadou Onana|for Youri Tielemans', '46&rsquor;|1:0|Thomas Meunier|for Yannick Carrasco', '62&rsquor;|1:0|Leandro Trossard|for Eden Hazard', '78&rsquor;|1:0|Loïs Openda|for Michy Batshuayi']","['58&rsquor;|1:0|Ismaël Koné|for Atiba Hutchinson', '58&rsquor;|1:0|Cyle Larin|for Junior Hoilett', '74&rsquor;|1:0|Sam Adekugbe|for Richie Laryea', '81&rsquor;|1:0|Jonathan Osorio|for Stephen Eustáquio', '81&rsquor;|1:0|Liam Millar|for Tajon Buchanan']"
Spain,Costa Rica,7,3.5,,0,0.0,,Luis Enrique,Sergio Busquets,Luis Fernando Suárez,Keylor Navas,40013,"Al Thumama Stadium, ath-Thumāma",Mohammed Abdulla Hassan (Referee) · Mohamed Ahmed Al Hammadi (AR1) · Hasan Mohamed Suqatari (AR2) · Ma Ning (4th) · Abdulla Ali Al Marri (VAR),Group stage,2022-11-23,7–0,Mohammed Abdulla Hassan,,Qatar,2022,Dani Olmo · 11|Marco Asensio · 21|Ferrán Torres · 54|Gavi · 74|Carlos Soler · 90|Álvaro Morata · 90+2,,"['11&rsquor;|1:0|Dani Olmo', '21&rsquor;|2:0|Marco Asensio|Assist:|Jordi Alba', '54&rsquor;|4:0|Ferrán Torres', '74&rsquor;|5:0|Gavi|Assist:|Álvaro Morata', '90&rsquor;|6:0|Carlos Soler', '90+2&rsquor;|7:0|Álvaro Morata|Assist:|Dani Olmo']",,,,Ferrán Torres (P) · 31,,,,,,,,,,,,,"['68&rsquor;|4:0|Francisco Calvo', '90+7&rsquor;|7:0|Joel Campbell']","['57&rsquor;|4:0|Álvaro Morata|for Ferrán Torres', '57&rsquor;|4:0|Carlos Soler|for Pedri', '64&rsquor;|4:0|Koke|for Sergio Busquets', '64&rsquor;|4:0|Alejandro Balde|for Jordi Alba', '69&rsquor;|4:0|Nico Williams|for Marco Asensio']","['46&rsquor;|3:0|Kendall Waston|for Carlos Martínez', '61&rsquor;|4:0|Álvaro Zamora|for Anthony Contreras', '61&rsquor;|4:0|Bryan Ruiz|for Jewison Bennette', '72&rsquor;|4:0|Brandon Aguilera|for Celso Borges', '82&rsquor;|5:0|Rónald Matarrita|for Bryan Oviedo']"
Germany,Japan,1,3.1,,2,1.5,,Hansi Flick,Manuel Neuer,Hajime Moriyasu,Maya Yoshida,42608,"Khalifa International Stadium, Doha",Iván Barton (Referee) · David Morán (AR1) · Zachari Zeegelaar (AR2) · Said Martínez (4th) · Mauro Vigliano (VAR),Group stage,2022-11-23,1–2,Iván Barton,,Qatar,2022,,Ritsu Doan · 75|Takuma Asano · 83,,"['75&rsquor;|1:1|Ritsu Doan', '83&rsquor;|1:2|Takuma Asano|Assist:|Ko Itakura']",,,İlkay Gündoğan (P) · 33,,,,,,,,,,,,,,"['67&rsquor;|1:0|Jonas Hofmann|for Thomas Müller', '67&rsquor;|1:0|Leon Goretzka|for İlkay Gündoğan', '79&rsquor;|1:1|Mario Götze|for Jamal Musiala', '79&rsquor;|1:1|Niclas Füllkrug|for Kai Havertz', '90&rsquor;|1:2|Youssoufa Moukoko|for Serge Gnabry']","['46&rsquor;|1:0|Takehiro Tomiyasu|for Takefusa Kubo', '57&rsquor;|1:0|Kaoru Mitoma|for Yuto Nagatomo', '57&rsquor;|1:0|Takuma Asano|for Daizen Maeda', '71&rsquor;|1:0|Ritsu Doan|for Ao Tanaka', '74&rsquor;|1:0|Takumi Minamino|for Hiroki Sakai']"
Morocco,Croatia,0,0.4,,0,0.5,,Hoalid Regragui,Romain Saïss,Zlatko Dalić,Luka Modrić,59407,"Al Bayt Stadium, Al Khor",Fernando Rapallini (Referee) · Juan Pablo Belatti (AR1) · Diego Bonfá (AR2) · Kevin Ortega (4th) · Julio Bascuñán (VAR),Group stage,2022-11-23,0–0,Fernando Rapallini,,Qatar,2022,,,,,,,,,,,,,,,,,,,['78&rsquor;|0:0|Sofyan Amrabat'],,"['60&rsquor;|0:0|Yahya Attiat Allah|for Noussair Mazraoui', '66&rsquor;|0:0|Abdessamad Ezzalzouli|for Sofiane Boufal', '81&rsquor;|0:0|Abderrazak Hamdallah|for Youssef En-Nesyri', '82&rsquor;|0:0|Abdelhamid Sabiri|for Azzedine Ounahi']","['46&rsquor;|0:0|Mario Pašalić|for Nikola Vlašić', '71&rsquor;|0:0|Marko Livaja|for Andrej Kramarić', '79&rsquor;|0:0|Lovro Majer|for Mateo Kovačić', '90&rsquor;|0:0|Mislav Oršić|for Ivan Perišić']"
Brazil,Serbia,2,2.4,,0,0.2,,Tite,Thiago Silva,Dragan Stojković,Dušan Tadić,88103,"Lusail Iconic Stadium, Lusail",Alireza Faghani (Referee) · Mohammadreza Mansouri (AR1) · Mohammadreza Abolfazli (AR2) · Maguette Ndiaye (4th) · Abdulla Ali Al Marri (VAR),Group stage,2022-11-24,2–0,Alireza Faghani,,Qatar,2022,Richarlison · 62|Richarlison · 73,,"['62&rsquor;|1:0|Richarlison', '73&rsquor;|2:0|Richarlison|Assist:|Vinicius Júnior']",,,,,,,,,,,,,,,,,"['7&rsquor;|0:0|Strahinja Pavlović', '49&rsquor;|0:0|Nemanja Gudelj', '64&rsquor;|1:0|Saša Lukić']","['75&rsquor;|2:0|Fred|for Lucas Paquetá', '76&rsquor;|2:0|Rodrygo|for Vinicius Júnior', '79&rsquor;|2:0|Gabriel Jesus|for Richarlison', '80&rsquor;|2:0|Antony|for Neymar', '87&rsquor;|2:0|Martinelli|for Raphinha']","['57&rsquor;|0:0|Ivan Ilić|for Nemanja Gudelj', '57&rsquor;|0:0|Nemanja Radonjić|for Andrija Živković', '66&rsquor;|1:0|Darko Lazović|for Saša Lukić', '66&rsquor;|1:0|Dušan Vlahović|for Filip Mladenović', '83&rsquor;|2:0|Nemanja Maksimović|for Aleksandar Mitrović']"
Portugal,Ghana,3,2.0,,2,0.9,,Fernando Santos,Cristiano Ronaldo,Otto Addo,André Ayew,42662,"Stadium 974, Doha",Ismail Elfath (Referee) · Kyle Atkins (AR1) · Corey Parker (AR2) · Stéphanie Frappart (4th) · Armando Villarreal (VAR),Group stage,2022-11-24,3–2,Ismail Elfath,,Qatar,2022,João Félix · 78|Rafael Leão · 80,André Ayew · 73|Osman Bukari · 89,"['78&rsquor;|2:1|João Félix|Assist:|Bruno Fernandes', '80&rsquor;|3:1|Rafael Leão|Assist:|Bruno Fernandes']","['73&rsquor;|1:1|André Ayew', '89&rsquor;|3:2|Osman Bukari']",,,Cristiano Ronaldo (P) · 65,,,,,,,,,,,,"['90+1&rsquor;|3:2|Danilo Pereira', '90+5&rsquor;|3:2|Bruno Fernandes']","['45&rsquor;|0:0|Kudus Mohammed', '49&rsquor;|0:0|André Ayew', '57&rsquor;|0:0|Alidu Seidu', '90+1&rsquor;|3:2|Daniel Amartey']","['56&rsquor;|0:0|William Carvalho|for Otávio', '77&rsquor;|1:1|Rafael Leão|for Rúben Neves', '88&rsquor;|3:1|João Mário|for Cristiano Ronaldo', '88&rsquor;|3:1|Gonçalo Ramos|for João Félix', '88&rsquor;|3:1|João Palhinha|for Bernardo Silva']","['66&rsquor;|1:0|Tariq Lamptey|for Alidu Seidu', '77&rsquor;|1:1|Osman Bukari|for Kudus Mohammed', '77&rsquor;|1:1|Jordan Ayew|for André Ayew', '90+2&rsquor;|3:2|Daniel Kyereh|for Salis Abdul Samed', '90+2&rsquor;|3:2|Antoine Semenyo|for Alexander Djiku']"
Uruguay,Korea Republic,0,0.6,,0,0.6,,Diego Alonso,Diego Godín,Paulo Bento,Son Heung-min,41663,"Education City Stadium, Doha",Clément Turpin (Referee) · Nicolas Danos (AR1) · Cyril Gringore (AR2) · István Kovács (4th) · Jérôme Brisard (VAR),Group stage,2022-11-24,0–0,Clément Turpin,,Qatar,2022,,,,,,,,,,,,,,,,,,,['57&rsquor;|0:0|Martín Cáceres'],"['88&rsquor;|0:0|Cho Guesung', '90+8&rsquor;|0:0|Paulo Bento']","['64&rsquor;|0:0|Edinson Cavani|for Luis Suárez', '78&rsquor;|0:0|Nicolás De La Cruz|for Matías Vecino', '79&rsquor;|0:0|Matías Viña|for Mathías Olivera', '88&rsquor;|0:0|Guillermo Varela|for Facundo Pellistri']","['74&rsquor;|0:0|Cho Guesung|for Hwang Ui-jo', '74&rsquor;|0:0|Son Jun-ho|for Lee Jae-sung', '75&rsquor;|0:0|Lee Kangin|for Na Sang-ho']"
