home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,Attendance,Venue,Officials,Round,Date,Score,Referee,Notes,Host,Year,home_goal,away_goal,home_goal_long,away_goal_long,home_own_goal,away_own_goal,home_penalty_goal,away_penalty_goal,home_penalty_miss_long,away_penalty_miss_long,home_penalty_shootout_goal_long,away_penalty_shootout_goal_long,home_penalty_shootout_miss_long,away_penalty_shootout_miss_long,home_red_card,away_red_card,home_yellow_red_card,away_yellow_red_card,home_yellow_card_long,away_yellow_card_long,home_substitute_in_long,away_substitute_in_long
Cameroon,Serbia,3,2.2,,3,1.9,,Rigobert Song,Eric Maxim Choupo-Moting,Dragan Stojković,Dušan Tadić,39789,"Al Janoub Stadium, Al Wakrah",Mohammed Abdulla Hassan (Referee) · Mohamed Ahmed Al Hammadi (AR1) · Hasan Mohamed Suqatari (AR2) · Ma Ning (4th) · Nicolás Gallo (VAR),Group stage,2022-11-28,3–3,Mohammed Abdulla Hassan,,Qatar,2022,Jean-Charles Castelletto · 29|Vincent Aboubakar · 64|Eric Maxim Choupo-Moting · 66,Strahinja Pavlović · 45+1|Sergej Milinković-Savić · 45+3|Aleksandar Mitrović · 53,"['29&rsquor;|1:0|Jean-Charles Castelletto|Assist:|Nicolas Nkoulou', '64&rsquor;|2:3|Vincent Aboubakar|Assist:|Jean-Charles Castelletto', '66&rsquor;|3:3|Eric Maxim Choupo-Moting|Assist:|Vincent Aboubakar']","['45+1&rsquor;|1:1|Strahinja Pavlović|Assist:|Dušan Tadić', '45+3&rsquor;|1:2|Sergej Milinković-Savić|Assist:|Andrija Živković', '53&rsquor;|1:3|Aleksandar Mitrović|Assist:|Andrija Živković']",,,,,,,,,,,,,,,"['24&rsquor;|0:0|Nicolas Nkoulou', '30&rsquor;|1:0|Christian Bassogog']","['45+4&rsquor;|1:2|Luka Jović', '90+3&rsquor;|3:3|Nikola Milenković']","['55&rsquor;|1:3|Vincent Aboubakar|for Martin Hongla', '67&rsquor;|3:3|Christian Bassogog|for Karl Toko Ekambi', '67&rsquor;|3:3|Gaël Ondoua|for Pierre Kunde', ""81&rsquor;|3:3|Georges-Kévin N'Koudou|for Bryan Mbeumo"", '81&rsquor;|3:3|Samuel Oum Gouet|for Andre-Frank Zambo Anguissa']","['56&rsquor;|1:3|Stefan Mitrović|for Strahinja Pavlović', '78&rsquor;|3:3|Marko Grujić|for Sergej Milinković-Savić', '78&rsquor;|3:3|Nemanja Radonjić|for Andrija Živković', '78&rsquor;|3:3|Srđan Babić|for Miloš Veljković', '90+2&rsquor;|3:3|Filip Đuričić|for Filip Kostić']"
Wales,England,0,0.3,,3,2.4,,Rob Page,Gareth Bale,Gareth Southgate,Harry Kane,44297,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Slavko Vinčič (Referee) · Tomaž Klančnik (AR1) · Andraž Kovačič (AR2) · Yoshimi Yamashita (4th) · Marco Fritz (VAR),Group stage,2022-11-29,0–3,Slavko Vinčič,,Qatar,2022,,Marcus Rashford · 50|Phil Foden · 52|Marcus Rashford · 68,,"['50&rsquor;|0:1|Marcus Rashford', '52&rsquor;|0:2|Phil Foden|Assist:|Harry Kane', '68&rsquor;|0:3|Marcus Rashford|Assist:|Kalvin Phillips']",,,,,,,,,,,,,,,"['29&rsquor;|0:0|Daniel James', '61&rsquor;|0:2|Aaron Ramsey']",,"['37&rsquor;|0:0|Connor Roberts|for Neco Williams', '46&rsquor;|0:0|Brennan Johnson|for Gareth Bale', '59&rsquor;|0:2|Joe Morrell|for Ben Davies', '77&rsquor;|0:3|Harry Wilson|for Daniel James', '81&rsquor;|0:3|Rubin Colwill|for Joe Allen']","['57&rsquor;|0:2|Trent Alexander-Arnold|for Kyle Walker', '58&rsquor;|0:2|Kalvin Phillips|for Declan Rice', '58&rsquor;|0:2|Callum Wilson|for Harry Kane', '65&rsquor;|0:2|Kieran Trippier|for Luke Shaw', '75&rsquor;|0:3|Jack Grealish|for Marcus Rashford']"
Netherlands,Qatar,2,1.6,,0,0.1,,Louis van Gaal,Virgil van Dijk,Félix Sánchez,Hassan Al-Haydos,66784,"Al Bayt Stadium, Al Khor",Bakary Papa Gassama (Referee) · Elvis Noupue (AR1) · Mahmoud Abo El Regal (AR2) · Ma Ning (4th) · Redouane Jiyed (VAR),Group stage,2022-11-29,2–0,Bakary Papa Gassama,,Qatar,2022,Cody Gakpo · 26|Frenkie de Jong · 49,,"['26&rsquor;|1:0|Cody Gakpo|Assist:|Davy Klaassen', '49&rsquor;|2:0|Frenkie de Jong']",,,,,,,,,,,,,,,,['52&rsquor;|2:0|Nathan Aké'],,"['66&rsquor;|2:0|Vincent Janssen|for Memphis', '66&rsquor;|2:0|Steven Berghuis|for Davy Klaassen', '82&rsquor;|2:0|Wout Weghorst|for Cody Gakpo', '82&rsquor;|2:0|Teun Koopmeiners|for Marten de Roon', '86&rsquor;|2:0|Kenneth Taylor|for Frenkie de Jong']","['64&rsquor;|2:0|Karim Boudiaf|for Assim Madibo', '64&rsquor;|2:0|Mohammed Muntari|for Almoez Ali', '64&rsquor;|2:0|Ali Assadalla|for Hassan Al-Haydos', '85&rsquor;|2:0|Ahmed Alaaeldin|for Abdulaziz Hatem', '85&rsquor;|2:0|Musab Kheder|for Ismail Mohamad']"
Ecuador,Senegal,1,0.9,,2,2.1,,Gustavo Alfaro,Enner Valencia,Aliou Cissé,Kalidou Koulibaly,44569,"Khalifa International Stadium, Doha",Clément Turpin (Referee) · Nicolas Danos (AR1) · Cyril Gringore (AR2) · István Kovács (4th) · Jérôme Brisard (VAR),Group stage,2022-11-29,1–2,Clément Turpin,,Qatar,2022,Moisés Caicedo · 67,Kalidou Koulibaly · 70,['67&rsquor;|1:1|Moisés Caicedo|Assist:|Félix Torres Caicedo'],['70&rsquor;|1:2|Kalidou Koulibaly'],,,,Ismaila Sarr (P) · 44,,,,,,,,,,,,['66&rsquor;|0:1|Idrissa Gana Gueye'],"['46&rsquor;|0:1|Jeremy Sarmiento|for Alan Franco', '46&rsquor;|0:1|José Cifuentes|for Carlos Gruezo', '64&rsquor;|0:1|Djorkaeff Reasco|for Michael Estrada', '85&rsquor;|1:2|Jackson Porozo|for Ángelo Preciado']","['75&rsquor;|1:2|Nampalys Mendy|for Pathé Ciss', '75&rsquor;|1:2|Bamba Dieng|for Iliman Ndiaye', '90+5&rsquor;|1:2|Pape Abou Cissé|for Boulaye Dia']"
IR Iran,United States,0,0.4,,1,1.2,,Carlos Queiroz,Ehsan Hajsafi,Gregg Berhalter,Tyler Adams,42127,"Al Thumama Stadium, ath-Thumāma",Antonio Matéu (Referee) · Pau Cebrián (AR1) · Roberto Díaz (AR2) · Kevin Ortega (4th) · Juan Martínez (VAR),Group stage,2022-11-29,0–1,Antonio Matéu,,Qatar,2022,,Christian Pulisic · 38,,['38&rsquor;|0:1|Christian Pulisic|Assist:|Sergiño Dest'],,,,,,,,,,,,,,,"['77&rsquor;|0:1|Majid Hosseini', '83&rsquor;|0:1|Hossein Kanaanizadegan', '90+6&rsquor;|0:1|Abolfazl Jalali']",['43&rsquor;|0:1|Tyler Adams'],"['45+2&rsquor;|0:1|Ali Karimi|for Milad Mohammadi', '46&rsquor;|0:1|Saman Ghoddos|for Sardar Azmoun', '71&rsquor;|0:1|Mehdi Torabi|for Ahmad Nourollahi', '72&rsquor;|0:1|Abolfazl Jalali|for Ehsan Hajsafi', '79&rsquor;|0:1|Karim Ansarifard|for Ali Gholizadeh']","['46&rsquor;|0:1|Brenden Aaronson|for Christian Pulisic', '65&rsquor;|0:1|Kellyn Acosta|for Weston McKennie', '77&rsquor;|0:1|Haji Wright|for Josh Sargent', '82&rsquor;|0:1|Shaquell Moore|for Sergiño Dest', '82&rsquor;|0:1|Walker Zimmerman|for Timothy Weah']"
Poland,Argentina,0,0.3,,2,3.5,,Czesław Michniewicz,Robert Lewandowski,Lionel Scaloni,Lionel Messi,44089,"Stadium 974, Doha",Danny Makkelie (Referee) · Hessel Steegstra (AR1) · Jan de Vries (AR2) · Said Martínez (4th) · Pol van Boekel (VAR),Group stage,2022-11-30,0–2,Danny Makkelie,,Qatar,2022,,Alexis Mac Allister · 46|Julián Álvarez · 67,,"['46&rsquor;|0:1|Alexis Mac Allister|Assist:|Nahuel Molina', '67&rsquor;|0:2|Julián Álvarez|Assist:|Enzo Fernández']",,,,,,['39&rsquor;|0:0|Lionel Messi|Penalty saved by Wojciech Szczęsny|—'],,,,,,,,,['78&rsquor;|0:2|Grzegorz Krychowiak'],['49&rsquor;|0:1|Marcos Acuña'],"['46&rsquor;|0:0|Jakub Kamiński|for Przemysław Frankowski', '46&rsquor;|0:0|Michał Skóraś|for Karol Świderski', '62&rsquor;|0:1|Damian Szymański|for Krystian Bielik', '72&rsquor;|0:2|Artur Jędrzejczyk|for Bartosz Bereszyński', '83&rsquor;|0:2|Krzysztof Piątek|for Grzegorz Krychowiak']","['59&rsquor;|0:1|Leandro Paredes|for Ángel Di María', '59&rsquor;|0:1|Nicolás Tagliafico|for Marcos Acuña', '79&rsquor;|0:2|Germán Pezzella|for Enzo Fernández', '79&rsquor;|0:2|Lautaro Martínez|for Julián Álvarez', '84&rsquor;|0:2|Thiago Almada|for Alexis Mac Allister']"
Saudi Arabia,Mexico,1,1.1,,2,2.3,,Hervé Renard,Salem Al-Dawsari,Tata Martino,Guillermo Ochoa,84985,"Lusail Iconic Stadium, Lusail",Michael Oliver (Referee) · Stuart Burt (AR1) · Simon Bennett (AR2) · István Kovács (4th) · Massimiliano Irrati (VAR),Group stage,2022-11-30,1–2,Michael Oliver,,Qatar,2022,Salem Al-Dawsari · 90+5,Henry Martín · 47|Luis Chávez · 52,['90+5&rsquor;|1:2|Salem Al-Dawsari|Assist:|Hattan Bahebri'],"['47&rsquor;|0:1|Henry Martín|Assist:|César Montes', '52&rsquor;|0:2|Luis Chávez']",,,,,,,,,,,,,,,"['28&rsquor;|0:0|Saleh Al-Shehri', '34&rsquor;|0:0|Ali Al Hassan', '52&rsquor;|0:1|Hassan Al Tambakti', '81&rsquor;|0:2|Abdullah Madu', '90+1&rsquor;|0:2|Abdulelah Al-Amri', '90+7&rsquor;|1:2|Hattan Bahebri']",['16&rsquor;|0:0|Edson Álvarez'],"['37&rsquor;|0:0|Riyadh Sharahili|for Ali Al-Bulaihi', '46&rsquor;|0:0|Abdullah Madu|for Ali Al Hassan', '62&rsquor;|0:2|Abdulrahman Al-Aboud|for Saleh Al-Shehri', '88&rsquor;|0:2|Hattan Bahebri|for Sultan Al-Ghanam']","['46&rsquor;|0:0|Uriel Antuna|for Alexis Vega', '77&rsquor;|0:2|Raúl Jiménez|for Henry Martín', '77&rsquor;|0:2|Charly Rodríguez|for Orbelín Pineda', '86&rsquor;|0:2|Kevin Álvarez|for Jorge Eduardo Sánchez', '86&rsquor;|0:2|Rogelio Funes Mori|for Edson Álvarez']"
Tunisia,France,1,0.5,,0,0.8,,Jalel Kadri,Wahbi Khazri,Didier Deschamps,Raphaël Varane,43627,"Education City Stadium, Doha",Matt Conger (Referee) · Mark Rule (AR1) · Tevita Makasini (AR2) · Salima Mukansanga (4th) · Abdulla Ali Al Marri (VAR),Group stage,2022-11-30,1–0,Matt Conger,,Qatar,2022,Wahbi Khazri · 58,,['58&rsquor;|1:0|Wahbi Khazri|Assist:|Aïssa Laïdouni'],,,,,,,,,,,,,,,,['28&rsquor;|0:0|Wajdi Kechrida'],,"['60&rsquor;|1:0|Issam Jebali|for Wahbi Khazri', '74&rsquor;|1:0|Ghaylène Chaalali|for Mohamed Ali Ben Romdhane', '83&rsquor;|1:0|Ali Abdi|for Anis Ben Slimane']","['63&rsquor;|1:0|William Saliba|for Raphaël Varane', '63&rsquor;|1:0|Kylian Mbappé|for Kingsley Coman', '63&rsquor;|1:0|Adrien Rabiot|for Jordan Veretout', '73&rsquor;|1:0|Antoine Griezmann|for Youssouf Fofana', '79&rsquor;|1:0|Ousmane Dembélé|for Mattéo Guendouzi']"
Australia,Denmark,1,0.6,,0,0.6,,Graham Arnold,Mathew Ryan,Kasper Hjulmand,Christian Eriksen,41232,"Al Janoub Stadium, Al Wakrah",Mustapha Ghorbal (Referee) · Mokrane Gourari (AR1) · Abdelhak Etchiali (AR2) · Maguette Ndiaye (4th) · Mauro Vigliano (VAR),Group stage,2022-11-30,1–0,Mustapha Ghorbal,,Qatar,2022,Mathew Leckie · 60,,['60&rsquor;|1:0|Mathew Leckie|Assist:|Riley McGree'],,,,,,,,,,,,,,,,"['4&rsquor;|0:0|Aziz Behich', '57&rsquor;|0:0|Miloš Degenek']",['75&rsquor;|1:0|Robert Skov'],"['46&rsquor;|0:0|Keanu Baccus|for Craig Goodwin', '74&rsquor;|1:0|Bailey Wright|for Riley McGree', '82&rsquor;|1:0|Jamie Maclaren|for Mitchell Duke', '89&rsquor;|1:0|Ajdin Hrustic|for Mathew Leckie']","['46&rsquor;|0:0|Alexander Bah|for Rasmus Nissen', '59&rsquor;|0:0|Kasper Dolberg|for Martin Braithwaite', '59&rsquor;|0:0|Mikkel Damsgaard|for Mathias Jensen', '69&rsquor;|1:0|Robert Skov|for Andreas Skov Olsen', '70&rsquor;|1:0|Andreas Cornelius|for Joakim Mæhle']"
Costa Rica,Germany,2,1.3,,4,5.7,,Luis Fernando Suárez,Keylor Navas,Hansi Flick,Manuel Neuer,67054,"Al Bayt Stadium, Al Khor",Stéphanie Frappart (Referee) · Neuza Back (AR1) · Karen Díaz (AR2) · Said Martínez (4th) · Drew Fischer (VAR),Group stage,2022-12-01,2–4,Stéphanie Frappart,,Qatar,2022,Yeltsin Tejeda · 58,Serge Gnabry · 10|Kai Havertz · 73|Kai Havertz · 85|Niclas Füllkrug · 90,['58&rsquor;|1:1|Yeltsin Tejeda'],"['10&rsquor;|0:1|Serge Gnabry|Assist:|David Raum', '73&rsquor;|2:2|Kai Havertz|Assist:|Niclas Füllkrug', '85&rsquor;|2:3|Kai Havertz|Assist:|Serge Gnabry', '90&rsquor;|2:4|Niclas Füllkrug|Assist:|Leroy Sané']",Manuel Neuer (OG) · 70,,,,,,,,,,,,,,['77&rsquor;|2:2|Óscar Duarte'],,"['46&rsquor;|0:1|Youstin Salas|for Brandon Aguilera', '74&rsquor;|2:2|Rónald Matarrita|for Johan Venegas', '74&rsquor;|2:2|Jewison Bennette|for Keysher Fuller', '90+3&rsquor;|2:4|Roan Wilson|for Yeltsin Tejeda', '90+3&rsquor;|2:4|Anthony Contreras|for Bryan Oviedo']","['46&rsquor;|0:1|Lukas Klostermann|for Leon Goretzka', '55&rsquor;|0:1|Niclas Füllkrug|for İlkay Gündoğan', '67&rsquor;|1:1|Mario Götze|for David Raum', '67&rsquor;|1:1|Kai Havertz|for Thomas Müller', '90+3&rsquor;|2:4|Matthias Ginter|for Niklas Süle']"
Japan,Spain,2,1.4,,1,1.0,,Hajime Moriyasu,Maya Yoshida,Luis Enrique,Sergio Busquets,44851,"Khalifa International Stadium, Doha",Victor Gomes (Referee) · Zakhele Siwela (AR1) · Souru Phatsoane (AR2) · Salima Mukansanga (4th) · Fernando Guerrero (VAR),Group stage,2022-12-01,2–1,Victor Gomes,,Qatar,2022,Ritsu Doan · 48|Ao Tanaka · 51,Álvaro Morata · 12,"['48&rsquor;|1:1|Ritsu Doan|Assist:|Junya Ito', '51&rsquor;|2:1|Ao Tanaka|Assist:|Kaoru Mitoma']",['12&rsquor;|0:1|Álvaro Morata|Assist:|César Azpilicueta'],,,,,,,,,,,,,,,"['39&rsquor;|0:1|Ko Itakura', '44&rsquor;|0:1|Shogo Taniguchi', '45&rsquor;|0:1|Maya Yoshida']",,"['46&rsquor;|0:1|Ritsu Doan|for Takefusa Kubo', '46&rsquor;|0:1|Kaoru Mitoma|for Yuto Nagatomo', '62&rsquor;|2:1|Takuma Asano|for Daizen Maeda', '69&rsquor;|2:1|Takehiro Tomiyasu|for Daichi Kamada', '87&rsquor;|2:1|Wataru Endo|for Ao Tanaka']","['46&rsquor;|0:1|Dani Carvajal|for César Azpilicueta', '57&rsquor;|2:1|Ferrán Torres|for Nico Williams', '57&rsquor;|2:1|Marco Asensio|for Álvaro Morata', '68&rsquor;|2:1|Ansu Fati|for Gavi', '68&rsquor;|2:1|Jordi Alba|for Alejandro Balde']"
Croatia,Belgium,0,0.7,,0,3.0,,Zlatko Dalić,Luka Modrić,Roberto Martínez,Kevin De Bruyne,43984,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Anthony Taylor (Referee) · Gary Beswick (AR1) · Adam Nunn (AR2) · István Kovács (4th) · Marco Fritz (VAR),Group stage,2022-12-01,0–0,Anthony Taylor,,Qatar,2022,,,,,,,,,,,,,,,,,,,,['67&rsquor;|0:0|Leander Dendoncker'],"['64&rsquor;|0:0|Bruno Petković|for Marko Livaja', '64&rsquor;|0:0|Mario Pašalić|for Andrej Kramarić', '90+2&rsquor;|0:0|Lovro Majer|for Mateo Kovačić']","['46&rsquor;|0:0|Romelu Lukaku|for Dries Mertens', '59&rsquor;|0:0|Thorgan Hazard|for Leandro Trossard', '72&rsquor;|0:0|Youri Tielemans|for Leander Dendoncker', '72&rsquor;|0:0|Jeremy Doku|for Yannick Carrasco', '87&rsquor;|0:0|Eden Hazard|for Thomas Meunier']"
Canada,Morocco,1,1.4,,2,0.5,,John Herdman,Milan Borjan,Hoalid Regragui,Romain Saïss,43102,"Al Thumama Stadium, ath-Thumāma",Raphael Claus (Referee) · Rodrigo Correa (AR1) · Danilo Manis (AR2) · Yoshimi Yamashita (4th) · Julio Bascuñán (VAR),Group stage,2022-12-01,1–2,Raphael Claus,,Qatar,2022,,Hakim Ziyech · 4|Youssef En-Nesyri · 23,,"['4&rsquor;|0:1|Hakim Ziyech', '23&rsquor;|0:2|Youssef En-Nesyri|Assist:|Achraf Hakimi']",Nayef Aguerd (OG) · 40,,,,,,,,,,,,,,"['7&rsquor;|0:1|Junior Hoilett', '26&rsquor;|0:2|Jonathan Osorio', '45+2&rsquor;|1:2|Sam Adekugbe', '84&rsquor;|1:2|Steven Vitória']",,"['60&rsquor;|1:2|Atiba Hutchinson|for Mark-Anthony Kaye', '60&rsquor;|1:2|Ismaël Koné|for Sam Adekugbe', '60&rsquor;|1:2|Jonathan David|for Cyle Larin', '65&rsquor;|1:2|Richie Laryea|for Jonathan Osorio', '76&rsquor;|1:2|David Wotherspoon|for Junior Hoilett']","['65&rsquor;|1:2|Selim Amallah|for Abdelhamid Sabiri', '65&rsquor;|1:2|Zakaria Aboukhlal|for Sofiane Boufal', '76&rsquor;|1:2|Abderrazak Hamdallah|for Hakim Ziyech', '77&rsquor;|1:2|Jawad El Yamiq|for Azzedine Ounahi', '85&rsquor;|1:2|Yahya Jabrane|for Achraf Hakimi']"
Korea Republic,Portugal,2,1.7,,1,1.3,,Sérgio Costa,Son Heung-min,Fernando Santos,Cristiano Ronaldo,44097,"Education City Stadium, Doha",Facundo Tello (Referee) · Ezequiel Brailovsky (AR1) · Gabriel Chade (AR2) · Maguette Ndiaye (4th) · Nicolás Gallo (VAR),Group stage,2022-12-02,2–1,Facundo Tello,,Qatar,2022,Kim Young-gwon · 27|Hwang Hee-chan · 90+1,Ricardo Horta · 5,"['27&rsquor;|1:1|Kim Young-gwon', '90+1&rsquor;|2:1|Hwang Hee-chan|Assist:|Son Heung-min']",['5&rsquor;|0:1|Ricardo Horta|Assist:|Diogo Dalot'],,,,,,,,,,,,,,,"['36&rsquor;|1:1|Lee Kangin', '90+2&rsquor;|2:1|Hwang Hee-chan']",,"['66&rsquor;|1:1|Hwang Hee-chan|for Lee Jae-sung', '81&rsquor;|1:1|Son Jun-ho|for Kim Young-gwon', '81&rsquor;|1:1|Hwang Ui-jo|for Lee Kangin', '90+3&rsquor;|2:1|Cho Yumin|for Cho Guesung']","['65&rsquor;|1:1|João Palhinha|for Matheus Nunes', '65&rsquor;|1:1|Rafael Leão|for Rúben Neves', '65&rsquor;|1:1|André Silva|for Cristiano Ronaldo', '82&rsquor;|1:1|Bernardo Silva|for João Mário', '82&rsquor;|1:1|William Carvalho|for Vitinha']"
Ghana,Uruguay,0,1.6,,2,1.8,,Otto Addo,André Ayew,Diego Alonso,Luis Suárez,43443,"Al Janoub Stadium, Al Wakrah",Daniel Siebert (Referee) · Jan Seidel (AR1) · Rafael Foltyn (AR2) · Yoshimi Yamashita (4th) · Bastian Dankert (VAR),Group stage,2022-12-02,0–2,Daniel Siebert,,Qatar,2022,,Giorgian De Arrascaeta · 26|Giorgian De Arrascaeta · 32,,"['26&rsquor;|0:1|Giorgian De Arrascaeta', '32&rsquor;|0:2|Giorgian De Arrascaeta|Assist:|Luis Suárez']",,,,,['21&rsquor;|0:0|André Ayew|Penalty saved by Sergio Rochet'],,,,,,,,,,"['86&rsquor;|0:2|Kamaldeen Sulemana', '90+9&rsquor;|0:2|Alidu Seidu']","['19&rsquor;|0:0|Darwin Núñez', '60&rsquor;|0:2|Luis Suárez', '87&rsquor;|0:2|Sebastián Coates', '90+10&rsquor;|0:2|Edinson Cavani', '90+10&rsquor;|0:2|José María Giménez']","['46&rsquor;|0:2|Kamaldeen Sulemana|for Jordan Ayew', '46&rsquor;|0:2|Osman Bukari|for André Ayew', '72&rsquor;|0:2|Antoine Semenyo|for Daniel Amartey', '72&rsquor;|0:2|Daniel Kyereh|for Salis Abdul Samed', '90+8&rsquor;|0:2|Abdul Fatawu Issahaku|for Kudus Mohammed']","['34&rsquor;|0:2|Matías Vecino|for Rodrigo Bentancur', '66&rsquor;|0:2|Edinson Cavani|for Luis Suárez', '66&rsquor;|0:2|Nicolás De La Cruz|for Facundo Pellistri', '80&rsquor;|0:2|Maxi Gómez|for Darwin Núñez', '80&rsquor;|0:2|Agustín Canobbio|for Giorgian De Arrascaeta']"
